,id,frame_num,box_height,box_width,box_xc_pixels,box_yc_pixels,box_xc_cm,box_yc_cm,Gender,Age
0,0,0,43,12,114,31,109,3083,Female,60+
1,1,0,43,16,128,31,160,3086,Female,19-25
2,2,0,43,18,80,42,8,2646,Male,41-60
3,3,0,42,13,85,39,16,2795,Female,26-40
4,12,0,51,21,105,53,71,2045,Male,26-40
5,13,0,53,20,126,50,124,2075,Male,41-60
6,0,1,43,12,114,31,109,3083,Male,41-60
7,1,1,43,16,128,31,160,3086,Female,60+
8,2,1,43,18,80,42,8,2646,Female,26-40
9,3,1,42,13,85,39,16,2795,Male,19-25
10,12,1,51,21,105,53,71,2045,Female,0-18
11,13,1,53,20,126,50,124,2075,Male,0-18
12,0,2,43,12,114,31,109,3083,Female,0-18
13,1,2,43,15,127,31,155,3085,Female,60+
14,2,2,43,18,80,42,8,2646,Female,41-60
15,3,2,42,13,85,39,16,2795,Male,19-25
16,12,2,51,21,105,53,71,2045,Female,60+
17,13,2,53,20,126,50,124,2075,Female,19-25
18,0,3,43,12,114,31,109,3083,Female,26-40
19,1,3,43,15,127,31,155,3085,Male,26-40
20,2,3,43,17,80,42,6,2646,Female,41-60
21,3,3,42,14,86,39,21,2796,Female,0-18
22,12,3,51,21,105,53,71,2045,Male,60+
23,13,3,53,20,126,50,124,2075,Male,0-18
24,0,4,43,13,113,31,107,3083,Female,60+
25,1,4,44,15,127,31,153,3043,Male,26-40
26,2,4,43,15,80,42,3,2646,Female,41-60
27,3,4,42,14,86,39,21,2796,Male,41-60
28,12,4,51,21,105,53,71,2045,Female,19-25
29,13,4,53,20,126,50,124,2075,Male,26-40
30,0,5,43,13,113,31,107,3083,Female,19-25
31,1,5,44,14,127,31,152,3043,Male,19-25
32,2,5,43,15,80,42,3,2646,Male,26-40
33,3,5,42,14,86,39,21,2796,Male,0-18
34,12,5,51,21,105,53,71,2045,Female,0-18
35,13,5,53,20,126,50,124,2075,Female,60+
36,0,6,43,13,113,31,107,3083,Female,41-60
37,1,6,44,14,127,31,152,3043,Female,41-60
38,2,6,43,15,80,42,3,2646,Male,19-25
39,3,6,42,14,87,39,24,2796,Female,19-25
40,12,6,51,21,105,53,71,2045,Female,41-60
41,13,6,53,20,125,50,122,2075,Female,60+
42,0,7,43,13,113,31,107,3083,Female,26-40
43,1,7,44,14,127,31,152,3043,Male,41-60
44,2,7,43,15,80,42,3,2646,Male,41-60
45,3,7,42,14,87,39,24,2796,Female,0-18
46,12,7,51,21,105,52,72,2073,Female,0-18
47,13,7,53,20,125,50,122,2075,Female,19-25
48,0,8,43,13,113,31,107,3083,Male,41-60
49,1,8,44,14,127,31,152,3043,Male,0-18
50,2,8,43,14,81,42,5,2646,Female,41-60
51,3,8,42,14,87,39,24,2796,Male,60+
52,12,8,51,21,105,52,72,2073,Female,41-60
53,13,8,53,20,125,50,122,2075,Male,19-25
54,0,9,43,13,113,31,107,3083,Female,26-40
55,1,9,44,14,127,31,152,3043,Male,0-18
56,2,9,43,14,81,42,5,2646,Male,60+
57,3,9,42,14,87,39,24,2796,Female,41-60
58,12,9,50,20,105,52,71,2102,Male,19-25
59,13,9,53,20,125,50,122,2075,Male,0-18
60,0,10,43,13,112,31,104,3083,Male,60+
61,1,10,44,14,127,31,152,3043,Female,26-40
62,2,10,43,14,81,42,5,2646,Female,26-40
63,3,10,42,14,87,39,24,2796,Male,0-18
64,12,10,50,20,105,52,71,2102,Male,41-60
65,13,10,53,21,125,49,124,2103,Male,19-25
66,0,11,43,13,112,31,104,3083,Female,0-18
67,1,11,44,14,127,31,152,3043,Male,19-25
68,2,11,43,14,81,42,5,2646,Male,0-18
69,3,11,42,14,87,39,24,2796,Male,41-60
70,12,11,50,20,105,52,71,2102,Male,26-40
71,13,11,53,21,125,49,124,2103,Female,26-40
72,0,12,43,13,112,31,104,3083,Female,60+
73,1,12,44,14,127,31,152,3043,Male,26-40
74,2,12,43,14,81,42,5,2646,Male,41-60
75,3,12,42,14,87,39,24,2796,Female,26-40
76,12,12,50,20,105,52,71,2102,Female,0-18
77,13,12,53,21,125,49,124,2103,Male,41-60
78,0,13,43,13,112,31,104,3083,Male,60+
79,1,13,44,14,127,31,152,3043,Female,60+
80,2,13,43,14,81,42,5,2646,Female,0-18
81,3,13,42,14,87,39,24,2796,Female,26-40
82,12,13,50,20,105,52,71,2102,Female,60+
83,13,13,53,21,125,49,124,2103,Male,26-40
84,0,14,43,13,112,31,104,3083,Male,26-40
85,1,14,44,14,127,31,152,3043,Male,19-25
86,2,14,43,14,81,42,5,2646,Male,41-60
87,3,14,42,14,87,39,24,2796,Female,19-25
88,12,14,50,20,105,52,71,2102,Female,41-60
89,13,14,53,21,125,49,124,2103,Female,41-60
90,0,15,43,13,112,31,104,3083,Female,0-18
91,1,15,43,13,126,31,149,3085,Female,19-25
92,2,15,44,14,81,42,4,2610,Female,60+
93,3,15,42,14,87,39,24,2796,Male,0-18
94,12,15,50,20,105,52,71,2102,Female,26-40
95,13,15,53,21,125,49,124,2103,Male,26-40
96,0,16,43,13,112,31,104,3083,Female,60+
97,1,16,43,13,126,31,149,3085,Female,0-18
98,2,16,44,14,81,42,4,2610,Female,60+
99,3,16,42,14,87,39,24,2796,Female,41-60
100,12,16,50,20,105,52,71,2102,Female,60+
101,13,16,53,20,126,49,125,2103,Female,60+
102,0,17,43,13,112,31,104,3083,Female,41-60
103,1,17,43,13,126,31,149,3085,Female,60+
104,2,17,44,14,81,42,4,2610,Female,41-60
105,3,17,41,14,87,39,24,2834,Male,60+
106,12,17,50,20,105,52,71,2102,Female,41-60
107,13,17,53,20,126,49,125,2103,Male,0-18
108,0,18,42,13,112,31,105,3126,Male,26-40
109,1,18,43,13,126,31,149,3085,Female,0-18
110,2,18,44,14,81,42,4,2610,Female,26-40
111,3,18,41,14,87,39,24,2834,Male,19-25
112,12,18,50,20,105,52,71,2102,Female,19-25
113,13,18,53,20,126,49,125,2103,Female,41-60
114,0,19,42,13,112,31,105,3126,Male,41-60
115,1,19,43,13,126,31,149,3085,Male,0-18
116,2,19,44,14,81,42,4,2610,Male,60+
117,3,19,41,14,87,39,24,2834,Male,26-40
118,12,19,50,20,105,52,71,2102,Male,0-18
119,13,19,53,20,126,49,125,2103,Female,19-25
120,0,20,41,13,112,30,107,3215,Female,60+
121,1,20,43,13,126,31,149,3085,Female,60+
122,2,20,44,14,81,42,4,2610,Male,41-60
123,3,20,41,14,87,39,24,2834,Female,41-60
124,12,20,50,19,104,52,67,2102,Female,0-18
125,13,20,53,20,126,49,125,2103,Male,41-60
126,0,21,41,13,112,30,107,3215,Male,60+
127,1,21,43,13,126,31,149,3085,Male,0-18
128,2,21,44,14,81,42,4,2610,Male,19-25
129,3,21,41,14,87,39,24,2834,Male,19-25
130,12,21,50,19,104,52,67,2102,Male,19-25
131,13,21,53,20,126,49,125,2103,Female,41-60
132,0,22,41,13,112,30,107,3215,Female,41-60
133,1,22,43,14,126,31,150,3085,Female,26-40
134,2,22,44,14,81,42,4,2610,Male,26-40
135,3,22,41,14,87,39,24,2834,Male,0-18
136,12,22,50,19,104,52,67,2102,Male,60+
137,13,22,53,20,126,49,125,2103,Male,19-25
138,0,23,40,13,112,31,107,3215,Female,60+
139,1,23,43,14,126,31,150,3085,Male,41-60
140,2,23,44,14,81,42,4,2610,Female,41-60
141,3,23,41,14,87,39,24,2834,Female,19-25
142,12,23,50,19,104,52,67,2102,Female,0-18
143,13,23,51,20,126,48,128,2191,Female,0-18
144,0,24,40,13,112,31,107,3215,Male,0-18
145,1,24,43,14,126,31,150,3085,Male,60+
146,2,24,44,14,81,42,4,2610,Female,19-25
147,3,24,41,15,86,39,22,2834,Female,0-18
148,12,24,50,19,104,52,67,2102,Female,60+
149,13,24,51,20,126,48,128,2191,Male,41-60
150,0,25,40,13,112,31,107,3215,Male,26-40
151,1,25,43,14,126,31,150,3085,Female,41-60
152,2,25,44,14,81,42,4,2610,Male,0-18
153,3,25,41,15,86,39,22,2834,Male,0-18
154,12,25,50,19,104,52,67,2102,Female,26-40
155,13,25,51,20,126,48,128,2191,Male,60+
156,0,26,41,13,112,31,106,3170,Male,19-25
157,1,26,43,14,126,31,150,3085,Female,19-25
158,2,26,44,14,81,42,4,2610,Female,0-18
159,3,26,41,15,86,39,22,2834,Male,41-60
160,12,26,50,19,104,52,67,2102,Female,26-40
161,13,26,51,20,126,48,128,2191,Male,60+
162,0,27,41,13,112,31,106,3170,Male,60+
163,1,27,43,14,126,31,150,3085,Female,60+
164,2,27,44,14,81,42,4,2610,Male,26-40
165,3,27,41,15,86,39,22,2834,Female,0-18
166,12,27,50,19,104,51,68,2130,Male,26-40
167,13,27,51,21,125,48,127,2191,Male,19-25
168,0,28,41,13,112,31,106,3170,Male,0-18
169,1,28,43,14,126,31,150,3085,Female,26-40
170,2,28,44,14,81,42,4,2610,Male,19-25
171,3,28,41,15,86,39,22,2834,Female,19-25
172,12,28,50,19,104,51,68,2130,Male,19-25
173,13,28,51,21,125,48,127,2191,Male,41-60
174,0,29,42,13,111,32,101,3083,Male,19-25
175,1,29,43,14,126,31,150,3085,Female,26-40
176,2,29,44,14,81,42,4,2610,Female,19-25
177,3,29,41,15,86,39,22,2834,Male,19-25
178,12,29,50,19,104,51,68,2130,Male,0-18
179,13,29,51,21,125,48,127,2191,Female,41-60
180,0,30,42,13,111,32,101,3083,Male,26-40
181,1,30,43,14,126,31,150,3085,Male,41-60
182,2,30,44,14,81,42,4,2610,Female,26-40
183,3,30,41,15,86,39,22,2834,Female,41-60
184,12,30,50,19,104,51,68,2130,Male,26-40
185,13,30,51,21,125,48,127,2191,Male,41-60
186,0,31,42,13,111,32,101,3083,Male,26-40
187,1,31,42,14,125,32,147,3085,Female,0-18
188,2,31,44,14,82,42,7,2610,Male,0-18
189,3,31,41,15,86,39,22,2834,Female,26-40
190,12,31,50,19,104,51,68,2130,Female,41-60
191,13,31,51,21,125,48,127,2191,Female,41-60
192,0,32,43,13,111,31,101,3083,Male,60+
193,1,32,42,14,125,32,147,3085,Male,60+
194,2,32,44,14,83,42,10,2611,Female,41-60
195,3,32,41,15,86,39,22,2834,Female,41-60
196,12,32,50,19,105,51,70,2131,Female,60+
197,13,32,51,21,125,48,127,2191,Male,60+
198,0,33,43,13,111,31,101,3083,Female,41-60
199,1,33,42,14,125,32,147,3085,Male,26-40
200,2,33,44,14,83,42,10,2611,Female,0-18
201,3,33,41,15,86,39,22,2834,Male,19-25
